date,plant_id,line_id,machine_id,shift,product_id,planned_production_time_min,runtime_min,downtime_min,downtime_reason,ideal_cycle_time_sec,target_output_qty,actual_output_qty,good_units,rejected_units,defect_type,scrap_qty,rework_qty,maintenance_flag,machine_temperature_c,machine_vibration_mm_s,production_cost_per_unit,selling_price_per_unit,estimated_loss_value
2026-01-26,Plant A,Line 1,M-01,Morning,Auto Bracket,480,464.39,15.61,Machine Breakdown,62,464,423,405,18,Dimension,10,8,True,68.89,3.14,17.18,36.65,472.0
2026-01-26,Plant A,Line 1,M-01,Evening,Pump Housing,480,464.26,15.74,Planned Maintenance,55,523,434,415,19,None,9,10,False,72.7,2.72,25.27,35.5,1134.0
2026-01-26,Plant A,Line 1,M-01,Night,Auto Bracket,480,468.52,11.48,Minor Stops,62,464,386,358,28,None,10,18,False,59.72,2.0,23.55,35.75,1113.0
2026-01-26,Plant A,Line 2,M-02,Morning,Gear Cover,480,471.93,8.07,Setup / Changeover,42,685,543,520,23,None,14,9,False,65.15,2.19,26.71,33.53,1072.5
2026-01-26,Plant A,Line 2,M-02,Evening,Auto Bracket,480,450.11,29.89,Setup / Changeover,42,685,575,572,3,None,2,1,False,71.48,3.68,13.97,40.76,734.5
2026-01-26,Plant A,Line 2,M-02,Night,Pump Housing,480,449.82,30.18,Material Shortage,62,464,316,303,13,None,9,4,False,64.59,2.63,22.84,34.7,2415.0
2026-01-26,Plant A,Line 3,M-03,Morning,Valve Plate,480,444.97,35.03,Utilities Issue,62,464,405,389,16,Dimension,11,5,False,67.93,3.1,26.0,28.48,1125.0
2026-01-26,Plant A,Line 3,M-03,Evening,Gear Cover,480,429.38,50.62,Quality Hold,55,523,413,399,14,None,7,7,False,78.01,2.24,23.59,29.01,1302.0
2026-01-26,Plant A,Line 3,M-03,Night,Pump Housing,480,464.5,15.5,Planned Maintenance,62,464,463,446,17,Assembly,12,5,False,67.47,2.5,20.51,35.62,270.0
2026-01-26,Plant A,Line 1,M-04,Morning,Auto Bracket,480,349.11,130.89,Material Shortage,55,523,364,364,0,None,0,0,False,72.71,2.85,18.56,35.6,1272.0
2026-01-26,Plant A,Line 1,M-04,Evening,Pump Housing,480,431.12,48.88,Setup / Changeover,48,600,428,407,21,None,7,14,False,63.68,2.52,20.59,33.68,2895.0
2026-01-26,Plant A,Line 1,M-04,Night,Gear Cover,480,441.75,38.25,Planned Maintenance,55,523,427,402,25,None,13,12,False,64.03,2.21,18.98,30.07,1815.0
2026-01-26,Plant A,Line 2,M-05,Morning,Auto Bracket,480,458.28,21.72,Minor Stops,38,757,682,651,31,None,16,15,False,68.03,2.76,21.01,45.33,689.0
2026-01-26,Plant A,Line 2,M-05,Evening,Bearing Cap,480,456.68,23.32,Minor Stops,38,757,787,743,44,None,18,26,False,78.43,1.92,19.87,35.01,91.0
2026-01-26,Plant A,Line 2,M-05,Night,Gear Cover,480,454.75,25.25,Quality Hold,55,523,404,373,31,None,13,18,True,64.36,1.86,20.87,32.23,2250.0
2026-01-26,Plant A,Line 3,M-06,Morning,Valve Plate,480,462.74,17.26,Machine Breakdown,62,464,427,417,10,Dimension,5,5,True,71.37,2.57,27.13,41.19,705.0
2026-01-26,Plant A,Line 3,M-06,Evening,Bearing Cap,480,465.61,14.39,Material Shortage,38,757,586,559,27,None,12,15,False,70.7,3.24,19.92,38.15,2079.0
2026-01-26,Plant A,Line 3,M-06,Night,Auto Bracket,480,449.86,30.14,Machine Breakdown,38,757,567,542,25,None,12,13,True,77.04,1.63,19.42,27.41,2257.5
2026-01-26,Plant B,Line 1,M-07,Morning,Gear Cover,480,476.75,3.25,Machine Breakdown,38,757,687,658,29,None,13,16,True,74.83,2.98,18.0,24.96,643.5
2026-01-26,Plant B,Line 1,M-07,Evening,Auto Bracket,480,434.59,45.41,Machine Breakdown,38,757,543,532,11,Surface,5,6,True,76.13,2.52,20.5,34.31,2362.5
2026-01-26,Plant B,Line 1,M-07,Night,Pump Housing,480,465.61,14.39,Material Shortage,62,464,425,398,27,Surface,19,8,False,78.59,3.64,23.21,31.96,792.0
2026-01-26,Plant B,Line 2,M-08,Morning,Bearing Cap,480,465.47,14.53,Planned Maintenance,55,523,484,470,14,Assembly,9,5,True,78.82,1.27,20.7,29.52,424.0
